probability,intersections_rand,intersections_alg,distancetraveled_rand,distancetraveled_alg
28.799999999999997,1.0,1.0,545.6461,703.0
28.9,1.0,1.0,546.3161,703.0
28.999999999999996,1.0,1.0,544.5314,703.0
29.099999999999998,1.0,1.0,544.6584,703.0
29.2,1.0,1.0,544.1431,703.0
29.299999999999997,1.0,1.0,543.4132,703.0
29.4,1.0,1.0,545.8178,703.0
29.5,1.0,1.0,546.2561,703.0
29.599999999999998,1.0,1.0,545.522,703.0
29.7,1.0,1.0,544.3285,703.0
29.799999999999997,1.0,1.0,546.308,703.0
29.9,1.0,1.0,546.2453,703.0
30.0,1.0,1.0,548.914,703.0
30.099999999999998,1.0,1.0,547.3627,703.0
30.2,1.0,1.0,546.6825,703.0
30.3,1.0,1.0,547.2281,703.0
30.4,1.0,1.0,545.833,703.0
30.5,1.0,1.0,545.4936,703.0
30.599999999999998,1.0,1.0,547.6645,703.0
30.7,1.0,1.0,546.3212,703.0
30.8,1.0,1.0,546.1928,703.0
30.9,1.0,1.0,545.0522,703.0
31.0,1.0,1.0,544.6658,703.0
31.1,1.0,1.0,548.7951,703.0
31.2,1.0,1.0,545.6469,703.0
31.3,1.0,1.0,545.7318,703.0
31.4,1.0,1.0,542.9798,703.0
31.5,1.0,1.0,544.7226,703.0
31.6,1.0,1.0,544.1599,703.0
31.7,1.0,1.0,544.8835,703.0
31.8,1.0,1.0,544.8244,703.0
31.900000000000002,1.0,1.0,544.6339,703.0
32.0,1.0,1.0,545.3127,703.0
32.1,1.0,1.0,546.1436,703.0
32.2,1.0,1.0,545.8123,703.0
32.300000000000004,1.0,1.0,546.7189,703.0
32.4,1.0,1.0,546.7275,703.0
32.5,1.0,1.0,545.4711,703.0
32.6,1.0,1.0,545.6219,703.0
32.7,1.0,1.0,544.7179,703.0
32.800000000000004,1.0,1.0,543.5854,703.0
32.9,1.0,1.0,544.5014,703.0
33.0,1.0,1.0,545.9274,703.0
33.1,1.0,1.0,546.3999,703.0
33.2,1.0,1.0,544.1194,703.0
33.300000000000004,1.0,1.0,545.1163,703.0
33.4,1.0,1.0,544.6214,703.0
33.5,1.0,1.0,545.0556,703.0
33.6,1.0,1.0,547.2062,703.0
33.7,1.0,1.0,545.3298,703.0
33.800000000000004,1.0,1.0,546.857,703.0
33.900000000000006,1.0,1.0,542.706,703.0
34.0,1.0,1.0,543.802,703.0
34.1,1.0,1.0,544.7092,703.0
34.2,1.0,1.0,547.1006,703.0
34.300000000000004,1.0,1.0,546.5525,703.0
34.4,1.0,1.0,544.2802,703.0
34.5,1.0,1.0,545.4273,703.0
34.599999999999994,1.0,1.0,547.1705,703.0
34.699999999999996,1.0,1.0,544.9936,703.0
34.8,1.0,1.0,546.3583,703.0
34.9,1.0,1.0,544.9324,703.0
35.0,1.0,1.0,543.5728,703.0
35.099999999999994,1.0,1.0,545.7964,703.0
35.199999999999996,1.0,1.0,545.4548,703.0
35.3,1.0,1.0,544.903,703.0
35.4,1.0,1.0,542.7451,703.0
35.5,1.0,1.0,546.0222,703.0
35.6,1.0,1.0,543.2428,703.0
35.699999999999996,1.0,1.0,543.8402,703.0
35.8,1.0,1.0,546.4381,703.0
35.9,1.0,1.0,545.4764,703.0
36.0,1.0,1.0,544.0826,703.0
36.1,1.0,1.0,545.322,703.0
36.199999999999996,1.0,1.0,544.7693,703.0
36.3,1.0,1.0,546.2093,703.0
36.4,1.0,1.0,546.1116,703.0
36.5,1.0,1.0,545.3982,703.0
36.6,1.0,1.0,545.7786,703.0
36.7,1.0,1.0,546.2503,703.0
36.8,1.0,1.0,544.616,703.0
36.9,1.0,1.0,543.7837,703.0
37.0,1.0,1.0,545.7239,703.0
37.1,1.0,1.0,546.0353,703.0
37.2,1.0,1.0,545.6098,703.0
37.3,1.0,1.0,544.1941,703.0
37.4,1.0,1.0,545.76,703.0
37.5,1.0,1.0,547.4935,703.0
37.6,1.0,1.0,548.3331,703.0
37.7,1.0,1.0,547.7101,703.0
37.8,1.0,1.0,544.7378,703.0
37.9,1.0,1.0,545.9843,703.0
38.0,1.0,1.0,546.059,703.0
38.1,1.0,1.0,544.3071,703.0
38.2,1.0,1.0,546.4851,703.0
38.3,1.0,1.0,544.3646,703.0
38.4,1.0,1.0,544.3852,703.0
38.5,1.0,1.0,545.4491,703.0
38.6,1.0,1.0,545.2841,703.0
38.7,1.0,1.0,548.6046,703.0
38.800000000000004,1.0,1.0,544.0592,703.0
38.9,1.0,1.0,546.4409,703.0
39.0,1.0,1.0,544.7842,703.0
39.1,1.0,1.0,545.4541,703.0
39.2,1.0,1.0,546.5801,703.0
39.300000000000004,1.0,1.0,543.4261,703.0
39.4,1.0,1.0,546.1105,703.0
39.5,1.0,1.0,545.7454,703.0
39.6,1.0,1.0,546.6034,703.0
39.7,1.0,1.0,545.9635,703.0
39.800000000000004,1.0,1.0,543.8693,703.0
39.900000000000006,1.0,1.0,543.1003,703.0
40.0,1.0,1.0,545.073,703.0
40.1,1.0,1.0,544.3538,703.0
40.2,1.0,1.0,545.9198,703.0
40.300000000000004,1.0,1.0,544.1367,703.0
40.400000000000006,1.0,1.0,545.8264,703.0
40.5,1.0,1.0,546.498,703.0
40.6,1.0,1.0,545.6393,703.0
40.699999999999996,1.0,1.0,546.473,703.0
40.8,1.0,1.0,543.2061,703.0
40.9,1.0,1.0,544.7117,703.0
41.0,1.0,1.0,545.8929,703.0
41.099999999999994,1.0,1.0,544.2371,703.0
41.199999999999996,1.0,1.0,544.7787,703.0
41.3,1.0,1.0,544.6113,703.0
41.4,1.0,1.0,544.9246,703.0
41.5,1.0,1.0,546.129,703.0
41.6,1.0,1.0,546.211,703.0
41.699999999999996,1.0,1.0,544.7355,703.0
41.8,1.0,1.0,546.0919,703.0
41.9,1.0,1.0,547.4809,703.0
42.0,1.0,1.0,546.7611,703.0
42.1,1.0,1.0,546.2615,703.0
42.199999999999996,1.0,1.0,547.058,703.0
42.3,1.0,1.0,543.7773,703.0
42.4,1.0,1.0,546.1622,703.0
42.5,1.0,1.0,544.4627,703.0
42.6,1.0,1.0,547.0338,703.0
42.699999999999996,1.0,1.0,546.4016,703.0
42.8,1.0,1.0,544.7429,703.0
42.9,1.0,1.0,544.7726,703.0
43.0,1.0,1.0,546.175,703.0
43.1,1.0,1.0,544.7739,703.0
43.2,1.0,1.0,547.5744,703.0
43.3,1.0,1.0,543.7988,703.0
43.4,1.0,1.0,544.2925,703.0
43.5,1.0,1.0,544.2998,703.0
43.6,1.0,1.0,544.4207,703.0
43.7,1.0,1.0,545.9016,703.0
43.8,1.0,1.0,545.7962,703.0
43.9,1.0,1.0,545.707,703.0
44.0,1.0,1.0,548.1979,703.0
44.1,1.0,1.0,546.1489,703.0
44.2,1.0,1.0,542.8618,703.0
44.3,1.0,1.0,548.4435,703.0
44.4,1.0,1.0,546.6378,703.0
44.5,1.0,1.0,546.3447,703.0
44.6,1.0,1.0,544.2677,703.0
44.7,1.0,1.0,546.0186,703.0
